Designator,Mid X,Mid Y,Rotation,Layer
U501,87.0,-88.4,180.0,top
U502,87.7,-98.4,90.0,bottom
U701,80.8625,-138.8625,270.0,bottom
U702,119.0625,-107.5763,90.0,top
U703,135.25,-94.35,290.0,top
U704,101.2125,-97.71,0.0,top
U705,100.4375,-77.3,0.0,bottom
U707,130.7875,-118.205,270.0,top
U8,98.43625,-99.8375,90.0,bottom
U801,139.7,-86.9,50.0,bottom
U802,134.509117,-82.129936,35.0,bottom
U803,137.454131,-84.395539,310.0,top
U804,196.2125,-93.15,0.0,top
U805,195.54,-54.31,270.0,top
U806,212.2,-91.5,0.0,top
U901,58.06,-115.0,180.0,top
U902,89.3,-110.2375,180.0,bottom
U903,101.15,-110.2375,180.0,bottom
